code,n,flops,bandwidth
S,16,317824265.882700086,6865755702.466039658
V,16,183072346.268266380,6671813866.817824364
B,16,149814738.024853200,6771994100.958264351
BP,16,140848967.149493575,6390394438.359840393
BO1,16,511808145.061051369,34330159581.601181030
BO2,16,557535692.240297794,34417275859.171493530
BO3,16,556510678.048635006,33298105845.053245544
BOf,16,561150358.234380484,23267703564.003227234
S,32,286442326.627798021,6249437382.803976059
V,32,205142056.600402951,6255932712.067488670
B,32,118534498.725013301,5427289753.804303169
BP,32,125511393.558232307,6103475971.288628578
BO1,32,558747660.244172692,33819795644.545356750
BO2,32,571473472.915729046,31317259281.063987732
BO3,32,555144337.527757168,37347898040.967796326
BOf,32,616594088.404177427,24209254010.987548828
S,64,291602094.831823170,6392900384.455856323
V,64,209409981.045441329,6091227130.944281578
B,64,182692904.461740077,5740514652.695183754
BP,64,192897746.110397816,6443697582.767827988
BO1,64,841202648.431563973,30979023359.060943604
BO2,64,856125960.984130621,30753117263.152755737
BO3,64,854076104.035423398,30948418672.565200806
BOf,64,852309828.369544983,23807102025.870460510
S,128,273513624.397415280,2752130301.544218063
V,128,233150968.258854896,3024052559.893991947
B,128,238528308.731354773,5837678493.081540108
BP,128,246857752.444653958,6612093555.029893875
BO1,128,995467069.593813896,31893286744.425693512
BO2,128,1006063328.093420029,31277248159.593379974
BO3,128,998281974.548266172,31868123852.709117889
BOf,128,999391491.539749384,24062456055.065776825
S,256,273158684.291943967,2247716802.499377251
V,256,231170586.216382653,2119490017.442471743
B,256,260891104.252091676,5441047803.537376404
BP,256,261750274.297574103,6026433925.817876816
BO1,256,927131332.693116784,19591994385.119041443
BO2,256,936625496.667621613,19676730526.993782043
BO3,256,932827577.357951760,19701220748.344116211
BOf,256,935749858.221462727,19535711617.530971527
S,512,159290332.288344353,947264246.844637990
V,512,159856361.223344684,962184179.081439495
B,512,245042444.688471705,5036299166.975322723
BP,512,247020710.007449299,5768236391.302337646
BO1,512,603518870.023335934,11880604309.224174500
BO2,512,611604481.115854383,11830421835.157728195
BO3,512,609344215.130767226,11873923943.477693558
BOf,512,607009063.357584476,11873009493.682512283
S,1024,145497956.459479630,914012212.440833688
V,1024,155194733.889239073,967442527.904981256
B,1024,241660575.104987919,4789742088.096720695
BP,1024,236689370.895905346,5333343424.498260498
BO1,1024,589309670.927089453,11732642455.911312103
BO2,1024,591497887.961963892,11725873766.902770996
BO3,1024,590422911.691106915,11727513520.152408600
BOf,1024,591240680.462901831,11729286294.653141022
S,2048,103012790.140564859,287002562.515507817
V,2048,117051479.833422616,360693719.904162407
B,2048,223064795.373712242,2934122430.191161156
BP,2048,148545801.861674726,2898000019.773236275
BO1,2048,426899370.988257468,6328351100.902420998
BO2,2048,422915181.290362060,6309157075.586680412
BO3,2048,426414493.173226833,6298140822.263453484
BOf,2048,425264849.991552114,6309270124.430997849
S,4096,50682061.924462557,151127888.664993435
V,4096,56814816.216055952,151344176.007815450
B,4096,125668981.136740506,2451262928.275521278
BP,4096,96594465.286160156,2458524871.141775131
BO1,4096,213086718.940719575,4901740260.558191299
BO2,4096,221768538.760355204,5180485177.957386017
BO3,4096,217631785.300989419,5106140091.500863075
BOf,4096,220374458.811942697,5206252384.874735832
